SessionID,UserID,Timestamp,PageType,DeviceType,Country,ReferralSource,TimeOnPage_seconds,ItemsInCart,Purchased
session_0,user_2223,2025-01-20 22:53:34,home,Desktop,India,Social Media,55,0,0
session_1,user_2192,2025-02-26 12:57:10,home,Tablet,Germany,Email,99,0,0
session_1,user_2192,2025-02-26 12:59:11,product_page,Tablet,Germany,Email,121,0,0
session_2,user_1708,2025-06-24 15:40:46,home,Mobile,India,Google,160,0,0
session_3,user_2976,2025-06-11 07:21:02,home,Tablet,UK,Google,113,0,0
session_4,user_1065,2025-04-12 23:58:16,home,Desktop,France,Social Media,49,0,0
session_4,user_1065,2025-04-13 00:00:31,product_page,Desktop,France,Social Media,135,4,0
session_5,user_2216,2025-01-08 20:58:18,home,Desktop,UK,Email,155,0,1
session_5,user_2216,2025-01-08 20:59:57,product_page,Desktop,UK,Email,99,0,1
session_5,user_2216,2025-01-08 21:00:23,cart,Desktop,UK,Email,26,5,1
session_5,user_2216,2025-01-08 21:00:38,checkout,Desktop,UK,Email,15,5,1
session_5,user_2216,2025-01-08 21:02:48,confirmation,Desktop,UK,Email,130,0,1
session_6,user_2429,2025-05-07 06:16:05,home,Desktop,Australia,Social Media,145,0,0
session_7,user_2450,2025-08-04 20:16:03,home,Desktop,Australia,Google,61,0,0
session_7,user_2450,2025-08-04 20:18:12,product_page,Desktop,Australia,Google,129,1,0
session_8,user_1521,2025-07-19 02:20:56,home,Mobile,France,Email,93,0,0
session_8,user_1521,2025-07-19 02:23:13,product_page,Mobile,France,Email,137,2,0
session_9,user_1843,2025-02-14 21:33:16,home,Tablet,India,Social Media,160,0,0
session_9,user_1843,2025-02-14 21:35:08,product_page,Tablet,India,Social Media,112,5,0
session_9,user_1843,2025-02-14 21:37:41,cart,Tablet,India,Social Media,153,5,0
session_10,user_2357,2025-05-17 22:11:37,home,Tablet,India,Direct,75,0,0
session_10,user_2357,2025-05-17 22:13:33,product_page,Tablet,India,Direct,116,0,0
session_11,user_2760,2025-06-11 20:27:05,home,Tablet,USA,Direct,54,0,0
